YLR420W,YLR420W_3509_88_1.39,YLR420W_1966_81_-1.39
YBR149W,YBR149W_1920_76_-0.32,YBR149W_2515_85_0.32
YIR029W,YIR029W_11_1_-3.25,YIR029W_29_4_3.25
YBR021W,YBR021W_473_51_0.36,YBR021W_421_50_-0.36
YOR192C,YOR192C_48_4_-2.23,YOR192C_69_12_2.23
YKR093W,YKR093W_1040_64_1.24,YKR093W_775_54_-1.24
YER065C,YER065C_173_31_0.27,YER065C_156_29_-0.27
YDR342C,YDR342C_3918_90_0.13,YDR342C_3662_90_-0.13
YDR226W,YDR226W_8077_98_0.41,YDR226W_6728_96_-0.41
YER175C,YER175C_59_13_-1.35,YER175C_120_23_1.35
YMR256C,YMR256C_6579_96_-0.84,YMR256C_10047_98_0.84
YER060W-A,YER060W-A_13_2_-0.57,YER060W-A_13_1_0.57
YPR156C,YPR156C_1067_66_0.94,YPR156C_828_60_-0.94
YGL067W,YGL067W_844_63_-0.16,YGL067W_927_67_0.16
YIL009W,YIL009W_99_21_2.85,YIL009W_36_3_-2.85
YLL052C,YLL052C_69_14_0.81,YLL052C_48_6_-0.81
YOR190W,YOR190W_29_5_-0.32,YOR190W_32_3_0.32
YCL050C,YCL050C_550_54_-0.75,YCL050C_826_64_0.75
YPL265W,YPL265W_1987_77_0.73,YPL265W_2254_76_-0.73
YGR282C,YGR282C_6710_96_2.57,YGR282C_3002_83_-2.57
YNL117W,YNL117W_48_11_-0.93,YNL117W_76_15_0.93
YFR055W,YFR055W_878_64_6.42,YFR055W_83_8_-6.42
YLR299W,YLR299W_163_29_2.62,YLR299W_58_8_-2.62
YER056C,YER056C_1863_75_2.18,YER056C_697_60_-2.18
YOR317W,YOR317W_903_64_0.2,YOR317W_853_65_-0.2
YOR109W,YOR109W_325_42_0.47,YOR109W_273_40_-0.47
YGR267C,YGR267C_423_48_-0.85,YGR267C_626_59_0.85
YGR185C,YGR185C_557_53_-0.71,YGR185C_715_61_0.71
YIL002C,YIL002C_96_21_-0.84,YIL002C_144_28_0.84
YDL066W,YDL066W_1181_69_0,YDL066W_1324_73_0
YLR328W,YLR328W_373_46_0.85,YLR328W_292_39_-0.85
YJL200C,YJL200C_404_48_-0.2,YJL200C_478_52_0.2
YBR249C,YBR249C_2220_79_0.3,YBR249C_1959_82_-0.3
YDR487C,YDR487C_1969_77_3.43,YDR487C_659_50_-3.43
YNR013C,YNR013C_411_43_-1.15,YNR013C_681_57_1.15
YJR077C,YJR077C_4321_89_3.57,YJR077C_1358_61_-3.57
YKR080W,YKR080W_1256_70_0.7,YKR080W_994_67_-0.7
YOR377W,YOR377W_78_17_1.1,YOR377W_55_8_-1.1
YDR376W,YDR376W_175_31_0.4,YDR376W_145_28_-0.4
YBR041W,YBR041W_154_28_0.84,YBR041W_109_22_-0.84
YLR209C,YLR209C_333_42_1.07,YLR209C_192_33_-1.07
YLR342W,YLR342W_4653_93_2.36,YLR342W_1653_78_-2.36
YJL139C,YJL139C_349_44_0.78,YJL139C_268_39_-0.78
Q0045,Q0045___0,Q0045___0
YPL276W,YPL276W_11_3_1.09,YPL276W_7_0_-1.09
YOL151W,YOL151W_1704_74_3.55,YOL151W_351_45_-3.55
YNL316C,YNL316C_177_31_0.08,YNL316C_179_31_-0.08
YBR252W,YBR252W_4063_90_1.48,YBR252W_2087_83_-1.48
YMR105C,YMR105C_483_51_-1.75,YMR105C_1323_72_1.75
YKR069W,YKR069W_373_46_-0.17,YKR069W_408_51_0.17
YPL262W,YPL262W_2374_79_-0.55,YPL262W_3055_87_0.55
YLR157C,YLR157C___0,YLR157C___0
YJR078W,YJR078W_36_6_-1.72,YJR078W_87_11_1.72
YGL248W,YGL248W_127_26_-1.67,YGL248W_303_42_1.67
YML008C,YML008C_1698_74_-0.02,YML008C_1797_80_0.02
YHR190W,YHR190W_905_61_-1.93,YHR190W_1924_81_1.93
YOL103W,YOL103W_714_59_1.46,YOL103W_383_48_-1.46
YNL071W,YNL071W_1324_70_0.87,YNL071W_1010_66_-0.87
YDR305C,YDR305C_315_40_-1.09,YDR305C_580_54_1.09
YPR035W,YPR035W_2508_82_0.27,YPR035W_2559_85_-0.27
YBR221C,YBR221C_1974_76_1.56,YBR221C_947_68_-1.56
YPL097W,YPL097W_76_16_0.41,YPL097W_76_12_-0.41
YMR015C,YMR015C_3051_85_1.26,YMR015C_1677_79_-1.26
YPR145W,YPR145W_3145_86_0.75,YPR145W_2435_85_-0.75
YJL137C,YJL137C_57_12_-0.79,YJL137C_77_15_0.79
YOR180C,YOR180C_26_5_-0.11,YOR180C_30_3_0.11
Q0085,Q0085_3_1_-6.02,Q0085_53_10_6.02
YHR051W,YHR051W_2663_83_-0.69,YHR051W_3736_90_0.69
YNL247W,YNL247W_219_35_-0.19,YNL247W_241_38_0.19
YBR248C,YBR248C_608_56_0.06,YBR248C_648_58_-0.06
YKL132C,YKL132C_265_39_2.49,YKL132C_84_17_-2.49
YDL055C,YDL055C_4787_94_1.44,YDL055C_2796_86_-1.44
YOR303W,YOR303W_1258_69_-0.53,YOR303W_1636_78_0.53
YGR180C,YGR180C_3642_89_3.58,YGR180C_1136_61_-3.58
YGR240C,YGR240C_4934_95_2.61,YGR240C_1849_78_-2.61
YLR395C,YLR395C_7115_97_-1,YLR395C_11387_98_1
YCR098C,YCR098C_11_2_-0.92,YCR098C_14_1_0.92
YJR048W,YJR048W_7083_97_-0.17,YJR048W_7816_97_0.17
YER052C,YER052C_543_54_0.24,YER052C_499_53_-0.24
YER086W,YER086W_1118_66_1.91,YER086W_425_50_-1.91
YCR024C,YCR024C_80_17_-0.33,YCR024C_94_19_0.33
YMR289W,YMR289W_166_28_-0.79,YMR289W_250_37_0.79
YFR019W,YFR019W_130_25_0.68,YFR019W_95_19_-0.68
YJR130C,YJR130C_65_15_-1.45,YJR130C_131_25_1.45
YDR529C,YDR529C_5611_95_-0.68,YDR529C_7715_97_0.68
YDL085W,YDL085W_10_2_-4.53,YDL085W_77_13_4.53
YPL104W,YPL104W_173_30_1.11,YPL104W_109_21_-1.11
YKL026C,YKL026C_266_37_-3.46,YKL026C_1249_74_3.46
YJL221C,YJL221C_103_21_0.13,YJL221C_126_19_-0.13
YDR236C,YDR236C_229_36_-0.23,YDR236C_256_39_0.23
YLR343W,YLR343W_35_7_-0.84,YLR343W_53_9_0.84
YGR193C,YGR193C_211_34_0.07,YGR193C_220_34_-0.07
YPR184W,YPR184W_195_31_0.84,YPR184W_135_24_-0.84
YJL153C,YJL153C_48_11_-0.82,YJL153C_71_14_0.82
YHR216W,YHR216W_896_63_-3.59,YHR216W_4501_92_3.59
YDR481C,YDR481C_147_27_-0.79,YDR481C_227_35_0.79
YPL147W,YPL147W_14_3_-0.14,YPL147W_15_1_0.14
YBR035C,YBR035C_1333_70_-0.65,YBR035C_1781_80_0.65
YER070W,YER070W_1997_78_3.91,YER070W_330_45_-3.91
YNR043W,YNR043W_2457_81_1.41,YNR043W_1367_75_-1.41
YGR289C,YGR289C_75_15_0.72,YGR289C_53_10_-0.72
YHL016C,YHL016C_79_17_0.16,YHL016C_81_14_-0.16
YNL192W,YNL192W_392_47_0.03,YNL192W_412_49_-0.03
Q0275,Q0275___0,Q0275___0
YLR447C,YLR447C_2006_77_0.61,YLR447C_1586_77_-0.61
YMR113W,YMR113W_326_42_-0.78,YMR113W_456_52_0.78
YBR184W,YBR184W_30_6_-2.43,YBR184W_87_18_2.43
YDR037W,YDR037W_3347_87_0.04,YDR037W_3254_88_-0.04
YPR138C,YPR138C_687_59_4.2,YPR138C_106_20_-4.2
YGR171C,YGR171C_131_26_0.45,YGR171C_112_21_-0.45
YMR217W,YMR217W_4798_94_0.73,YMR217W_3422_89_-0.73
YOR209C,YOR209C_599_56_-0.09,YOR209C_631_59_0.09
YMR296C,YMR296C_797_62_-0.07,YMR296C_838_65_0.07
YBR023C,YBR023C_1320_71_2.15,YBR023C_495_53_-2.15
YLR060W,YLR060W_7062_97_0.59,YLR060W_5562_94_-0.59
YBR069C,YBR069C_582_55_2.09,YBR069C_250_36_-2.09
YDR232W,YDR232W_535_52_2.78,YDR232W_287_27_-2.78
YPL117C,YPL117C_648_56_-0.67,YPL117C_864_66_0.67
YDR513W,YDR513W_3790_90_-1.02,YDR513W_6418_95_1.02
YDR483W,YDR483W_1844_75_1.07,YDR483W_1109_72_-1.07
YPR069C,YPR069C_1761_75_0.82,YPR069C_1217_74_-0.82
YGR170W,YGR170W_107_22_0.71,YGR170W_79_15_-0.71
YNL202W,YNL202W_58_13_-3.91,YNL202W_378_47_3.91
YMR293C,YMR293C_89_18_0.2,YMR293C_77_15_-0.2
YNL292W,YNL292W_293_40_1.13,YNL292W_205_31_-1.13
YBR180W,YBR180W___0,YBR180W___0
YLR372W,YLR372W_6834_97_1.87,YLR372W_2884_87_-1.87
YJL216C,YJL216C___0,YJL216C___0
YDL040C,YDL040C_472_50_-0.07,YDL040C_512_53_0.07
YKL120W,YKL120W_5744_95_0.36,YKL120W_5282_93_-0.36
YHR096C,YHR096C_107_22_-2.64,YHR096C_452_48_2.64
YJL167W,YJL167W_3530_88_-1.03,YJL167W_5885_95_1.03
YNR072W,YNR072W___0,YNR072W___0
YOR126C,YOR126C_107_22_-0.89,YOR126C_161_30_0.89
YNL101W,YNL101W_777_61_0.89,YNL101W_574_54_-0.89
YEL051W,YEL051W_600_55_-0.01,YEL051W_594_57_0.01
YJL071W,YJL071W_231_36_0.19,YJL071W_221_35_-0.19
YBR093C,YBR093C_24_5_0.03,YBR093C_22_3_-0.03
YPL214C,YPL214C_159_28_0.6,YPL214C_123_24_-0.6
YJR010W,YJR010W_121_24_-0.29,YJR010W_139_27_0.29
YEL063C,YEL063C_427_48_3.66,YEL063C_152_15_-3.66
YDR345C,YDR345C_4588_93_2.13,YDR345C_1919_80_-2.13
YJL130C,YJL130C_3627_88_-0.99,YJL130C_5969_94_0.99
YGL008C,YGL008C_7562_97_3.6,YGL008C_2521_77_-3.6
YHR063C,YHR063C_568_54_-0.46,YHR063C_712_61_0.46
YML035C,YML035C_189_31_0.33,YML035C_160_30_-0.33
YDR023W,YDR023W_3784_89_-0.2,YDR023W_4122_92_0.2
YGR121C,YGR121C_136_25_0.39,YGR121C_102_21_-0.39
YOR108W,YOR108W_772_61_1.61,YOR108W_378_48_-1.61
YBR038W,YBR038W_356_44_2.33,YBR038W_133_24_-2.33
YDL095W,YDL095W_709_59_1.07,YDL095W_544_51_-1.07
YML100W,YML100W_1159_68_-0.28,YML100W_1417_75_0.28
YNL256W,YNL256W_195_32_0.39,YNL256W_164_30_-0.39
YOR323C,YOR323C_1656_73_1.19,YOR323C_1056_67_-1.19
YLR303W,YLR303W_2612_82_-0.81,YLR303W_4597_90_0.81
YML075C,YML075C_4114_91_0.39,YML075C_3551_89_-0.39
YKL140W,YKL140W_724_58_0.6,YKL140W_568_54_-0.6
YBL068W,YBL068W_1011_66_-0.03,YBL068W_1043_69_0.03
YPL087W,YPL087W_721_59_-1.26,YPL087W_1298_75_1.26
YDR135C,YDR135C_553_54_1.34,YDR135C_299_43_-1.34
YGR094W,YGR094W_1924_77_0.83,YGR094W_1364_75_-0.83
YBR019C,YBR019C_49_11_-3.62,YBR019C_288_40_3.62
YPR047W,YPR047W_25_5_-1.36,YPR047W_49_8_1.36
YBR001C,YBR001C_280_40_0.08,YBR001C_293_41_-0.08
YPL258C,YPL258C_62_14_-0.55,YPL258C_81_16_0.55
YNR016C,YNR016C_4196_91_-1.3,YNR016C_7681_97_1.3
YCR034W,YCR034W_1904_76_2.16,YCR034W_673_61_-2.16
YGR043C,YGR043C_162_29_-2.78,YGR043C_907_57_2.78
YGR055W,YGR055W_1032_66_0.31,YGR055W_880_66_-0.31
YKL188C,YKL188C_38_7_-1.56,YKL188C_74_14_1.56
YMR006C,YMR006C_124_25_0.5,YMR006C_104_20_-0.5
YOL156W,YOL156W___0,YOL156W___0
YDL022W,YDL022W_3426_87_1.59,YDL022W_1748_79_-1.59
YER024W,YER024W_53_12_-2.93,YER024W_224_34_2.93
YLR307W,YLR307W_1_1_-2.94,YLR307W_14_0_2.94
YBR058C-A,YBR058C-A___0,YBR058C-A___0
YPL273W,YPL273W_1535_72_2.94,YPL273W_574_49_-2.94
YOR375C,YOR375C_2398_80_0.44,YOR375C_2054_83_-0.44
YKL055C,YKL055C_77_16_1.06,YKL055C_68_8_-1.06
YGR248W,YGR248W_280_39_-0.94,YGR248W_417_51_0.94
YKL216W,YKL216W_8323_98_0.78,YKL216W_5880_95_-0.78
YDL171C,YDL171C_1677_74_0.8,YDL171C_1319_73_-0.8
YDR035W,YDR035W_1997_78_0.88,YDR035W_1415_76_-0.88
YOL058W,YOL058W_692_59_-0.92,YOL058W_1171_70_0.92
YOL033W,YOL033W_86_18_-0.09,YOL033W_90_18_0.09
YML126C,YML126C_3340_87_2.92,YML126C_1047_67_-2.92
YLR258W,YLR258W_428_49_-0.53,YLR258W_819_56_0.53
YHR208W,YHR208W_2202_79_1.1,YHR208W_1422_76_-1.1
YML054C,YML054C_390_46_-1.99,YML054C_1000_69_1.99
YOR136W,YOR136W_4174_91_-0.54,YOR136W_5875_94_0.54
YBR208C,YBR208C_67_15_-0.64,YBR208C_92_18_0.64
YPL069C,YPL069C_98_21_1.97,YPL069C_51_6_-1.97
YLR070C,YLR070C_49_11_-0.54,YLR070C_62_12_0.54
YDR234W,YDR234W_272_37_-0.27,YDR234W_285_42_0.27
YCR012W,YCR012W_15792_100_1.76,YCR012W_8937_96_-1.76
YOR202W,YOR202W_960_65_0.28,YOR202W_842_65_-0.28
YAL062W,YAL062W_21_4_-1.36,YAL062W_64_5_1.36
YOR236W,YOR236W_173_30_-0.91,YOR236W_296_40_0.91
YDR353W,YDR353W_1638_73_1.21,YDR353W_923_68_-1.21
YNL220W,YNL220W_2096_78_-2.03,YNL220W_5340_94_2.03
YDR343C,YDR343C_4726_94_0.64,YDR343C_3532_89_-0.64
YBR153W,YBR153W_258_38_0.33,YBR153W_228_36_-0.33
YNR057C,YNR057C_82_18_-0.42,YNR057C_100_21_0.42
YJL198W,YJL198W_1269_68_0.9,YJL198W_776_63_-0.9
YMR261C,YMR261C_553_55_0.83,YMR261C_456_48_-0.83
YNL052W,YNL052W_4980_94_3.63,YNL052W_1786_68_-3.63
YFL018C,YFL018C_1072_67_-0.49,YFL018C_1526_75_0.49
YKL192C,YKL192C_6888_96_0.68,YKL192C_4909_93_-0.68
YGR007W,YGR007W_318_42_0.72,YGR007W_228_37_-0.72
YGL055W,YGL055W_4456_93_-0.5,YGL055W_5611_95_0.5
YOR071C,YOR071C_57_12_-2.01,YOR071C_151_28_2.01
YOL055C,YOL055C_67_14_-2.62,YOL055C_227_35_2.62
YGR264C,YGR264C_4490_92_1.57,YGR264C_2284_84_-1.57
YOR347C,YOR347C_101_21_-0.08,YOR347C_119_21_0.08
YHR074W,YHR074W_202_33_-0.1,YHR074W_212_35_0.1
YJL166W,YJL166W_3544_88_-1.53,YJL166W_7338_96_1.53
YGL234W,YGL234W_2606_82_3.51,YGL234W_648_54_-3.51
YHR019C,YHR019C_1893_76_0.24,YHR019C_1744_79_-0.24
YIR028W,YIR028W_94_20_-0.02,YIR028W_101_19_0.02
YER061C,YER061C_122_24_0.53,YER061C_100_19_-0.53
YNL073W,YNL073W_316_41_1.87,YNL073W_146_26_-1.87
YPR128C,YPR128C_566_55_1.19,YPR128C_325_44_-1.19
YJR152W,YJR152W_66_14_-1.57,YJR152W_141_26_1.57
YER003C,YER003C_1914_77_0.63,YER003C_1452_77_-0.63
YBR085W,YBR085W_91_19_0.89,YBR085W_64_11_-0.89
YKL106W,YKL106W_1058_67_0.27,YKL106W_953_68_-0.27
YMR271C,YMR271C_26_5_-6.87,YMR271C_649_60_6.87
YGR260W,YGR260W_2193_78_2.74,YGR260W_811_57_-2.74
YKL080W,YKL080W_2660_83_-0.96,YKL080W_4268_92_0.96
YJL026W,YJL026W_2759_84_2.19,YJL026W_1170_70_-2.19
YMR085W,YMR085W___0,YMR085W___0
YLL012W,YLL012W_589_56_1.52,YLL012W_292_42_-1.52
YCL004W,YCL004W_39_8_4.61,YCL004W_10_0_-4.61
YBR291C,YBR291C_559_55_1.39,YBR291C_293_43_-1.39
YOL136C,YOL136C_272_39_3.09,YOL136C_84_13_-3.09
YPL275W,YPL275W___0,YPL275W___0
YOR155C,YOR155C_198_32_-0.14,YOR155C_241_34_0.14
YOR278W,YOR278W_304_41_-0.08,YOR278W_310_44_0.08
YOR074C,YOR074C_75_16_-0.62,YOR074C_99_20_0.62
YJL045W,YJL045W_13_2_-4.3,YJL045W_66_13_4.3
YGR208W,YGR208W_333_42_-0.04,YGR208W_342_45_0.04
YGL224C,YGL224C_393_46_-0.48,YGL224C_503_53_0.48
YDR072C,YDR072C_260_38_0.26,YDR072C_242_37_-0.26
YDR503C,YDR503C_122_24_0.84,YDR503C_82_16_-0.84
YIL053W,YIL053W_4385_92_2.2,YIL053W_1709_78_-2.2
YPL091W,YPL091W_1025_67_-0.06,YPL091W_1072_71_0.06
YKR031C,YKR031C_426_48_0.52,YKR031C_417_44_-0.52
YPL028W,YPL028W_6428_96_-0.25,YPL028W_7328_96_0.25
YLL028W,YLL028W_932_65_2.58,YLL028W_285_42_-2.58
YOL056W,YOL056W_91_18_-2.46,YOL056W_265_40_2.46
YLR027C,YLR027C_3439_86_-0.24,YLR027C_3414_89_0.24
YGL245W,YGL245W_2497_82_-0.05,YGL245W_2590_86_0.05
YPL059W,YPL059W_1651_73_0.88,YPL059W_1132_72_-0.88
YFL053W,YFL053W___0,YFL053W___0
YLR164W,YLR164W_102_21_0.02,YLR164W_102_21_-0.02
YGR254W,YGR254W_1911_67_2.3,YGR254W_539_49_-2.3
YDL093W,YDL093W_140_27_1.84,YDL093W_65_12_-1.84
YDR441C,YDR441C_377_43_2.22,YDR441C_124_24_-2.22
YDR508C,YDR508C_2037_77_3.76,YDR508C_482_46_-3.76
YDL174C,YDL174C_1222_68_0.01,YDL174C_1297_73_-0.01
YIL145C,YIL145C_112_23_-1.02,YIL145C_182_32_1.02
YHR018C,YHR018C_934_65_-0.38,YHR018C_1273_72_0.38
YPL188W,YPL188W_449_50_1.83,YPL188W_198_33_-1.83
YNL141W,YNL141W_586_56_2.63,YNL141W_183_32_-2.63
YBL042C,YBL042C_436_48_0.85,YBL042C_341_41_-0.85
YPL078C,YPL078C_1038_65_-0.62,YPL078C_1231_74_0.62
YIL074C,YIL074C_238_37_-0.47,YIL074C_315_43_0.47
YOR335C,YOR335C_1420_72_0.35,YOR335C_1204_74_-0.35
YJL126W,YJL126W_161_28_-0.14,YJL126W_178_31_0.14
YPR026W,YPR026W_152_28_-0.35,YPR026W_181_32_0.35
YMR008C,YMR008C_793_60_2.57,YMR008C_343_36_-2.57
YDR399W,YDR399W_1680_74_1.23,YDR399W_1054_68_-1.23
YKL024C,YKL024C_3777_89_-1.72,YKL024C_8279_97_1.72
YDL185W,YDL185W_1867_76_0.72,YDL185W_1345_76_-0.72
YKL181W,YKL181W_4942_94_-0.59,YKL181W_6497_96_0.59
YJR133W,YJR133W_2357_80_0.03,YJR133W_2315_86_-0.03
YGR192C,YGR192C_19497_101_2.61,YGR192C_13260_95_-2.61
YJR073C,YJR073C_529_52_-0.2,YJR073C_901_55_0.2
YDL078C,YDL078C_1146_67_0.29,YDL078C_982_68_-0.29
YLR377C,YLR377C_34_7_-1.12,YLR377C_55_11_1.12
YMR226C,YMR226C_8849_98_-0.05,YMR226C_9235_98_0.05
YGL037C,YGL037C_2830_84_-0.84,YGL037C_4540_92_0.84
YDR502C,YDR502C_1018_66_-0.35,YDR502C_1133_72_0.35
YJL052W,YJL052W_550_51_-7.14,YJL052W_13630_99_7.14
YIR034C,YIR034C_665_57_0.43,YIR034C_531_55_-0.43
YKL008C,YKL008C_1394_71_1.12,YKL008C_827_65_-1.12
YGL040C,YGL040C_557_53_0.79,YGL040C_400_48_-0.79
YEL046C,YEL046C_1574_72_4.53,YEL046C_455_33_-4.53
YNL009W,YNL009W_49_10_-0.72,YNL009W_68_13_0.72
YMR169C,YMR169C_254_37_-2.13,YMR169C_1144_61_2.13
YPR183W,YPR183W_696_50_3.9,YPR183W_191_15_-3.9
YJR057W,YJR057W_220_34_-0.79,YJR057W_297_43_0.79
YGL184C,YGL184C_104_22_-0.54,YGL184C_136_27_0.54
YDR204W,YDR204W_188_30_-0.56,YDR204W_245_36_0.56
YOR184W,YOR184W_1771_75_1.07,YOR184W_1208_71_-1.07
YGR012W,YGR012W_62_13_-1.59,YGR012W_123_24_1.59
YMR145C,YMR145C_2807_84_0.73,YMR145C_2005_83_-0.73
YBR183W,YBR183W_847_62_0.25,YBR183W_799_63_-0.25
YPR074C,YPR074C_4166_91_1.5,YPR074C_2146_83_-1.5
